"Date","Price","Open","High","Low","Vol.","Change %"
"16-08-2023","43,500.00","43,500.00","43,500.00","43,500.00","0.01K","-4.48%"
"14-08-2023","45,540.00","45,540.00","45,540.00","45,540.00","","5.76%"
"11-08-2023","43,060.00","44,350.00","44,600.00","42,700.00","0.79K","-3.00%"
"10-08-2023","44,390.00","44,520.00","44,620.00","44,310.00","0.70K","-0.60%"
"09-08-2023","44,660.00","44,670.00","44,830.00","44,600.00","0.58K","-0.20%"
"08-08-2023","44,750.00","44,580.00","44,750.00","44,310.00","0.85K","0.22%"
"07-08-2023","44,650.00","44,510.00","44,910.00","44,510.00","1.36K","0.45%"
"04-08-2023","44,450.00","44,400.00","44,480.00","44,260.00","0.61K","0.02%"
"03-08-2023","44,440.00","44,570.00","44,710.00","44,400.00","0.78K","-0.40%"
"02-08-2023","44,620.00","44,610.00","44,790.00","44,590.00","0.64K","0.38%"
"01-08-2023","44,450.00","44,500.00","44,680.00","44,390.00","0.89K","0.02%"
"31-07-2023","44,440.00","44,360.00","44,490.00","44,150.00","1.40K","0.47%"
"28-07-2023","44,230.00","44,050.00","44,270.00","43,970.00","0.61K","0.48%"
"27-07-2023","44,020.00","43,710.00","44,050.00","43,710.00","0.89K","0.36%"
"26-07-2023","43,860.00","44,750.00","44,750.00","43,840.00","0.82K","-0.70%"
"25-07-2023","44,170.00","43,820.00","44,220.00","43,820.00","1.49K","0.68%"
"24-07-2023","43,870.00","44,350.00","44,350.00","43,830.00","1.00K","-1.13%"
"21-07-2023","44,370.00","44,500.00","44,560.00","44,230.00","1.00K","-0.72%"
"20-07-2023","44,690.00","44,530.00","44,530.00","44,530.00","","-0.71%"
"19-07-2023","45,010.00","45,010.00","45,010.00","45,010.00","","1.99%"
"18-07-2023","44,130.00","44,260.00","44,270.00","44,000.00","0.16K","-2.41%"
"17-07-2023","45,220.00","45,220.00","45,220.00","45,220.00","","5.31%"
"14-07-2023","42,940.00","44,580.00","44,580.00","42,300.00","0.43K","-4.02%"
"13-07-2023","44,740.00","45,700.00","45,700.00","44,700.00","0.36K","-2.48%"
"12-07-2023","45,880.00","45,980.00","46,070.00","45,700.00","0.94K","0.17%"
"11-07-2023","45,800.00","45,350.00","46,000.00","45,250.00","1.21K","0.99%"
"10-07-2023","45,350.00","45,450.00","45,450.00","45,280.00","0.29K","-0.53%"
"07-07-2023","45,590.00","45,720.00","47,700.00","44,600.00","1.02K","-0.48%"
"06-07-2023","45,810.00","45,980.00","46,030.00","45,750.00","1.01K","-0.11%"
"05-07-2023","45,860.00","45,680.00","45,900.00","45,340.00","1.91K","0.39%"
"04-07-2023","45,680.00","45,450.00","45,730.00","45,230.00","0.85K","0.18%"
"03-07-2023","45,600.00","46,050.00","46,050.00","45,520.00","0.65K","-1.23%"
"30-06-2023","46,170.00","46,230.00","46,500.00","46,010.00","1.32K","0.00%"
"28-06-2023","46,170.00","46,050.00","46,270.00","45,910.00","0.94K","0.02%"
"27-06-2023","46,160.00","46,050.00","46,280.00","46,040.00","0.95K","0.35%"
"26-06-2023","46,000.00","46,400.00","46,770.00","45,960.00","1.51K","-0.90%"
"23-06-2023","46,420.00","46,150.00","46,530.00","46,100.00","0.67K","0.28%"
"22-06-2023","46,290.00","46,520.00","46,570.00","46,250.00","0.43K","-0.49%"
"21-06-2023","46,520.00","46,520.00","46,770.00","46,470.00","1.15K","-5.06%"
"20-06-2023","49,000.00","49,000.00","49,000.00","49,000.00","0.08K","-0.67%"
